filename,prompt_token_count,iterations,successful_runs,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,tokens_per_second_median,tokens_per_second_95_ci_lower,tokens_per_second_95_ci_upper,tokens_per_second_cv,response_time_mean,response_time_std,response_time_min,response_time_max,response_time_median,response_time_95_ci_lower,response_time_95_ci_upper,response_time_cv,outliers_detected,outlier_threshold,model,llm_url
extra_long_programming_code_heavy_17947t.txt,17736,5,5,76.58851099957349,3.601117425391654,72.38294344025662,80.47090037524774,77.06505427779378,72.11140809245056,81.06561390669641,4.701902907358662,24.60846972465515,6.843958802384062,17.184121131896973,31.363112926483154,27.44278311729431,16.099691967414774,33.11724748189553,27.811395340552693,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
extra_long_repo_prompt_44396t.txt,36029,5,5,69.69617553790128,1.2529511197583987,68.17240225311868,71.42051035928517,69.80747687482946,68.13843930269836,71.2539117731042,1.7977329603645682,14.886048126220704,1.004819177281051,13.578118801116943,16.241832971572876,14.7394540309906,13.636802870285015,16.13529338215639,6.750073416134765,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
long_architecture_enterprise_1235t.txt,1214,5,5,84.43383368727643,1.6995023799059703,82.3415986344143,86.00708915097528,85.45562555727011,82.32092090301424,86.54674647153863,2.0128215262622535,21.881781768798827,1.510082077274258,20.547065258026123,24.04233193397522,21.131481885910034,20.00436649472636,23.759197042871296,6.9010928508001115,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
long_non_programming_analysis_1330t.txt,1312,5,5,83.60691453076169,0.4515912404487816,82.86391850508296,84.04658920972253,83.7195447455939,83.04547200706375,84.16835705445962,0.5401362351227859,17.942327547073365,0.957390633538902,16.40038299560547,18.99983787536621,18.20418906211853,16.75204800815966,19.13260708598707,5.3359333176094275,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
long_non_programming_summarize_1707t.txt,1703,5,5,81.07462987392334,0.4147087753885994,80.59872154278466,81.5026474602642,81.24317236304688,80.5590416148985,81.59021813294818,0.5115148549348918,15.596283197402954,0.5183977213844984,15.049701690673828,16.2105929851532,15.473948240280151,14.95178326271837,16.24078313208754,3.323854246701678,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
long_programming_debug_complex_1366t.txt,1366,5,5,82.53439767358445,1.3940833536977724,81.18066948033842,84.3267240259775,82.23923428803039,80.80119825287044,84.26759709429847,1.6890937512032702,21.18265256881714,2.041352960558961,19.05280613899231,23.784268140792847,20.75861692428589,18.644732752667704,23.720572384966577,9.636909041146362,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
long_programming_full_project_2339t.txt,2336,5,5,80.45807436962455,1.4868960926188812,78.033867165141,81.71968057056353,80.74978382908127,78.60948515897705,82.30666358027206,1.8480383780850602,18.741065120697023,2.0723443474820837,16.754192352294922,21.50032877922058,17.78714871406555,16.164615145127918,21.317515096266128,11.057772512584965,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
medium_architecture_web_app_106t.txt,103,5,5,91.24755871836265,3.1825705707488554,87.30395028648849,95.09349520505806,91.54337801663281,87.29081577686473,95.20430165986058,3.4878418836079996,15.213146781921386,0.7522661235138043,14.32674503326416,16.265512943267822,15.058863878250122,14.277889068644388,16.148404495198385,4.94484234128184,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
medium_non_programming_explanation_106t.txt,106,5,5,91.72877244736655,1.8786288101386825,89.3863834918126,93.11102467695233,93.08230869160796,89.39316004884499,94.06438484588811,2.0480256739690144,11.318559217453004,0.6426504273354507,10.678720951080322,12.36924433708191,11.29833984375,10.51958163449501,12.117536800410997,5.677846579134347,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
medium_programming_algorithm_102t.txt,102,5,5,90.92796240886561,1.8201397990271604,88.85286246916355,92.77606263033339,91.06226057536897,88.6650666954029,93.19085812232832,2.001738245098621,14.980655193328857,1.5246630582936707,13.067982196807861,17.073169708251953,15.048502922058105,13.08511205926204,16.876198327395677,10.177545899144846,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
medium_programming_debug_122t.txt,122,5,5,91.27877083269368,1.988749768253904,89.05889838743467,92.82704797038757,92.60847942910289,88.80625013503239,93.75129153035498,2.1787648432504807,13.703855848312378,1.265692776300806,12.025292873382568,15.203421831130981,13.324913740158081,12.130278500252274,15.277433196372481,9.236033933155209,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
short_architecture_basic_6t.txt,5,5,5,94.01455672655565,0.5960186064246377,93.48647648453282,95.00295651550205,93.92500846417607,93.27355433193563,94.75555912117568,0.6339641723336279,14.439703845977784,0.8502045754570389,13.329783201217651,15.617232084274292,14.39955186843872,13.382683780597956,15.496723911357611,5.887964078251269,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
short_programming_debug_12t.txt,11,5,5,82.20476915916187,4.213988396194078,77.62495728125212,88.54258819529059,81.9707390993223,76.96571209144327,87.44382622688047,5.126209147348991,1.2278072357177734,0.27630620068567235,0.9404191970825195,1.6828060150146484,1.1844689846038818,0.8842885029979219,1.5713259684376248,22.504037494464217,0,2.0,gemma3:4b-it-q4_K_M,http://127.0.0.1:11434/v1/chat/completions
