filename,prompt_token_count,iterations,successful_runs,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,tokens_per_second_median,tokens_per_second_95_ci_lower,tokens_per_second_95_ci_upper,tokens_per_second_cv,response_time_mean,response_time_std,response_time_min,response_time_max,response_time_median,response_time_95_ci_lower,response_time_95_ci_upper,response_time_cv,outliers_detected,outlier_threshold,model,llm_url,base_model,quantization,hardware,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
extra_long_programming_code_heavy_17947t.txt,17736,5,5,19.94636358655608,1.7696715003180823,16.927715328432665,21.401259739274572,20.254564293162066,17.746212777015348,22.14651439609681,8.872151019601626,444.5998022556305,91.19822858400116,319.18681812286377,524.2875838279724,499.7392120361328,331.2172584266171,557.9823460846438,20.512431206967825,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
extra_long_repo_prompt_44396t.txt,36029,5,5,10.221085144798908,2.3704761271989545,5.987410216725177,11.498033535003977,11.225819865830076,7.273981702540649,13.168188587057166,23.192020158497485,506.1089766025543,262.6656805512373,199.2514626979828,914.5857393741608,446.1144094467163,179.54887231229543,832.6690808928132,51.89903611559685,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
long_architecture_enterprise_1235t.txt,1214,5,5,52.01784946513597,1.280884784239258,50.349235186154424,53.75614291924546,52.09847413983578,50.42538459554527,53.61031433472667,2.462394730673647,78.85004172325134,8.665575917837344,65.92734909057617,89.78304171562195,80.17996668815613,68.07653157329433,89.62355187320834,10.989944619499212,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
long_non_programming_analysis_1330t.txt,1312,5,5,52.41780273101408,1.393792779841438,50.65255328092111,54.079431945843325,52.89962403663576,50.684964567349816,54.15064089467834,2.659006496311551,70.94367117881775,11.05527343008072,59.20920181274414,89.01941156387329,68.8061044216156,57.19916052669144,84.68818183094406,15.583170769687468,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
long_non_programming_summarize_1707t.txt,1703,5,5,54.43757234059268,6.512993149122971,42.80633521448393,57.77288139296376,57.24108364541449,46.34026888794594,62.53487579323942,11.964150620777042,16.281614065170288,3.8182967457008448,11.545209169387816,20.57001233100891,16.509121417999268,11.534502143771045,21.028725986569533,23.45158612909862,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
long_programming_debug_complex_1366t.txt,1366,5,5,52.595812207247874,1.3488647974232788,50.33223387975181,53.91348810916861,52.97115555731056,50.91883092824869,54.27279348624706,2.5645859257923975,67.4565854549408,4.902985373552602,59.70676565170288,73.05910897254944,68.12892270088196,61.36093028004014,73.55224062984145,7.268356885374322,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
long_programming_full_project_2339t.txt,2336,5,5,33.91383278541392,2.395165247444049,31.826922425477548,37.93575165439378,32.83128282195745,30.936034500703645,36.891631070124205,7.062502379483898,476.0845623493194,101.52012840727522,311.7903161048889,579.7607369422913,507.70919394493103,349.86927738835425,602.2998473102847,21.32396982298839,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
medium_architecture_web_app_106t.txt,103,5,5,51.24656470682235,2.77149186188499,48.12119193044519,54.61351624330844,50.10865705161563,47.80089693036451,54.692232483280186,5.408151507794683,135.06637754440308,36.09591930007733,92.6144359111786,178.65309762954712,148.15803170204163,90.18998887288544,179.94276621592073,26.72457791222748,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
medium_non_programming_explanation_106t.txt,106,5,5,64.22702592906509,0.8824869805726439,62.70674649227965,64.85937462223137,64.47848434032066,63.129870640997744,65.32418121713243,1.3740119020103747,14.951883125305176,2.090017043155141,12.750662565231323,17.01571297645569,15.415995121002195,12.353461503764006,17.550304746846347,13.978286384662214,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
medium_programming_algorithm_102t.txt,102,5,5,60.10247690192844,0.3926757218210745,59.76592567363817,60.76676101431477,59.97933836193905,59.61428132037766,60.590672483479224,0.6533436591337473,45.58861179351807,3.7583062194482664,41.23965072631836,49.22537326812744,47.58305239677429,40.916083321575776,50.26114026546036,8.243958461535419,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int4,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
