filename,prompt_token_count,iterations,successful_runs,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,tokens_per_second_median,tokens_per_second_95_ci_lower,tokens_per_second_95_ci_upper,tokens_per_second_cv,response_time_mean,response_time_std,response_time_min,response_time_max,response_time_median,response_time_95_ci_lower,response_time_95_ci_upper,response_time_cv,outliers_detected,outlier_threshold,model,llm_url,base_model,quantization,hardware
extra_long_programming_code_heavy_17947t.txt,17736,5,5,19.166816268946185,1.4936564538369848,16.532590002491066,20.219951724809345,19.721952092167392,17.309822213555396,21.023810324336974,7.792929367497442,513.4046195983886,115.82493738994197,399.70421838760376,706.4228894710541,481.7474434375763,369.4048265759652,657.4044126208121,22.56016657593501,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
extra_long_repo_prompt_44396t.txt,36029,5,5,9.817256867997047,2.2705057970052542,5.756224835930676,10.890748905621429,10.826553317405367,6.994441918188484,12.64007181780561,23.127700818410908,558.471272945404,169.21400980996296,412.91926193237305,844.3033652305603,484.17994594573975,348.0953129991053,768.8472328917028,30.29950115742216,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_architecture_enterprise_1235t.txt,1214,5,5,50.58375593566401,1.7835313702497477,47.54484086436902,51.9803791885795,51.28633529229943,48.36637379022574,52.80113808110228,3.5258974689783193,86.1904329776764,14.727789040551114,71.91174936294556,110.16968202590942,81.38620114326477,67.88005335383693,104.50081260151586,17.08749861410449,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_non_programming_analysis_1330t.txt,1312,5,5,52.64643725082423,1.2821880904799225,50.425532954634384,53.73115714894083,53.07205994474796,51.052352040803136,54.24052246084532,2.4354698198686724,55.788900756835936,6.04678472607185,46.56371212005615,61.355132818222046,58.89225625991821,48.271212695636855,63.30658881803502,10.838687703182472,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_non_programming_summarize_1707t.txt,1703,5,5,53.63055303808321,5.953471721230947,43.018039695837956,56.803885403194464,56.41813465265807,46.22887672432115,61.03222935184527,11.100895635000017,16.022885608673096,5.1273404449602324,10.369009017944336,22.448161125183105,13.470845937728882,9.648300139707501,22.39747107763869,32.000106411449586,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_programming_debug_complex_1366t.txt,1366,5,5,51.94171672909226,1.5007764555912357,49.301006790680326,52.91489903015357,52.426896386016836,50.07587070449661,53.80756275368792,2.889347041451672,64.72585253715515,4.571892689229722,59.62403893470764,70.99246501922607,64.9094307422638,59.041829598697845,70.40987547561245,7.063472337587641,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_programming_full_project_2339t.txt,2336,5,5,34.27197324452542,3.444219199323108,29.68616457472055,38.957890958913104,34.85425722943018,29.989934652467838,38.554011836583,10.049667040613967,436.5595712184906,154.94207160473704,255.27562594413757,672.0639154911041,395.04499864578247,243.92725261483605,629.1918898221452,35.49162172124069,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
medium_architecture_web_app_106t.txt,103,5,5,54.12026604865704,0.8065032261731842,52.87264868005683,55.05192800674684,54.22020669966809,53.11757785164239,55.122954245671686,1.490205582966082,88.64857740402222,8.279985034109405,79.90637493133545,101.1297926902771,87.10774612426758,78.35445458376627,98.94270022427817,9.340234526689336,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
medium_non_programming_explanation_106t.txt,106,5,5,63.47427051254815,0.7470471703743536,62.2595390020575,64.25505820353621,63.68634525659002,62.54550128257026,64.40303974252605,1.1769291152809245,14.295788145065307,2.238700513252402,11.983492374420166,17.29025149345398,14.941498517990112,11.51251523499911,17.079061055131504,15.659860726357842,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
medium_programming_algorithm_102t.txt,102,5,5,59.732682177595585,0.4368081145142788,59.25555840298985,60.33248347302263,59.718586747709324,59.18961883132493,60.27574552386624,0.7312715561902491,41.607130432128905,2.258351373674618,38.33755660057068,43.84790754318237,42.561408042907715,38.79942651525815,44.41483434899966,5.4277989138388785,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
medium_programming_debug_122t.txt,122,5,5,61.35223902680188,0.5896117800802897,60.3777415744306,61.77789560179387,61.67114926548374,60.61920194335151,62.08527611025225,0.9610273226095567,28.390160369873048,1.8286816200204128,26.5952730178833,30.958645820617676,27.574487924575806,26.11664500504008,30.663675734706015,6.441251462464318,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
