filename,prompt_token_count,iterations,successful_runs,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,tokens_per_second_median,tokens_per_second_95_ci_lower,tokens_per_second_95_ci_upper,tokens_per_second_cv,response_time_mean,response_time_std,response_time_min,response_time_max,response_time_median,response_time_95_ci_lower,response_time_95_ci_upper,response_time_cv,outliers_detected,outlier_threshold,model,llm_url,base_model,quantization,hardware,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
extra_long_programming_code_heavy_17947t.txt,17736,5,5,17.074058826525643,1.2876155115730663,15.438934548136944,18.72194152128363,16.863598001564863,15.47322595463078,18.674891698420502,7.541355717790274,671.3992753982544,224.78971770837984,376.99081540107727,949.517359972,668.5694513320923,391.9286056702119,950.8699451262968,33.48078050501934,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
extra_long_repo_prompt_44396t.txt,36029,5,5,9.141354991517334,2.911910117490854,3.936664825128861,10.572393855596353,10.416455411680277,5.521111685821438,12.76159829721323,31.85425049342186,406.2603097438813,203.2890880141151,172.5247871875763,618.0358521938324,378.34367299079895,153.52037948865578,659.0002399991067,50.03912101142114,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
long_architecture_enterprise_1235t.txt,1214,5,5,40.002642676240185,1.6215308429511346,37.65610844802384,41.64532080112527,39.89642693864846,37.98666830123728,42.01861705124309,4.053559301256496,113.60166721343994,33.25251767421573,77.82386922836304,158.460346698761,118.00555491447447,72.26034840537682,154.94298602150306,29.27115287114528,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
long_non_programming_analysis_1330t.txt,1312,5,5,40.675304000675105,0.9425836759510182,39.07550323624178,41.585089071075494,40.88184364243656,39.50343326798219,41.847174733368014,2.317336524234394,89.80532960891723,9.991090717334291,75.60402226448059,103.72227263450624,90.23565649986269,77.38386815350763,102.22679106432685,11.125275928325555,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
long_non_programming_summarize_1707t.txt,1703,5,5,40.91962926432914,6.135103609743546,29.94913057462545,43.87507047462394,43.678868641290144,33.2921384157918,48.54712011286648,14.993057659717604,15.785797262191773,3.917738898321444,11.509953022003174,22.09912061691284,15.011549949645996,10.915053507115283,20.65654101726826,24.818125009781657,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
long_programming_debug_complex_1366t.txt,1366,5,5,40.229648312652,0.8779165114011408,38.95479487830707,41.15004516747584,40.39212980407208,39.138175277729296,41.32112134757471,2.182262456231915,98.21162304878234,11.927793986940374,83.37779426574707,114.03792142868042,100.14327096939088,83.38234790269732,113.04089819486737,12.14499222868536,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
long_programming_full_project_2339t.txt,2336,5,4,29.609969551526373,2.771992518942608,26.72685201314836,33.394275872524624,29.15937516021625,25.756899950196143,33.463039152856595,9.36168648913627,479.3000618815422,171.66576269214187,265.28498578071594,685.5277976989746,483.19373202323914,240.68465173946504,717.9154720236194,35.81592750442177,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
medium_architecture_web_app_106t.txt,103,5,5,38.687923083764275,1.7844832066471012,36.46599995573716,40.96656098204275,39.12667167047584,36.46935756411231,40.90648860341624,4.612507119556323,203.82939138412476,51.20166968025926,142.0670874118805,271.2389626502991,189.8193657398224,140.17272121872318,267.48606154952637,25.1198658508319,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
medium_non_programming_explanation_106t.txt,106,5,5,47.653720799058384,0.4330410920134688,46.89881428385006,47.975398756025186,47.805754570154896,47.11534081780955,48.192100780307214,0.9087246174112504,17.371301651000977,1.3489031414552417,15.32035207748413,18.96861505508423,17.63386034965515,15.69427270063852,19.048330601363432,7.765124160269905,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
medium_programming_algorithm_102t.txt,102,5,5,45.43074493244914,0.1379502424046495,45.26296389300924,45.59096900384796,45.456078805198146,45.2592377699908,45.60225209490747,0.303649527670672,55.361999893188475,3.822387992169371,49.51067423820496,59.209556102752686,55.482128381729126,50.60980151408895,60.114198272288,6.904353165608208,0,2.0,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
