filename,prompt_token_count,iterations,successful_runs,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,tokens_per_second_median,tokens_per_second_95_ci_lower,tokens_per_second_95_ci_upper,tokens_per_second_cv,response_time_mean,response_time_std,response_time_min,response_time_max,response_time_median,response_time_95_ci_lower,response_time_95_ci_upper,response_time_cv,outliers_detected,outlier_threshold,model,llm_url
extra_long_programming_code_heavy_17947t.txt,17736,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19269638061523436,0.03388633674687054,0.17055869102478027,0.2528493404388428,0.179368257522583,0.15056706383943927,0.23482569739102946,17.585351960778617,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
extra_long_repo_prompt_44396t.txt,36029,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.24758296012878417,0.0064238716925248155,0.23777174949645996,0.25569725036621094,0.24822235107421875,0.23959645726531267,0.2555694629922557,2.594634012447116,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
long_architecture_enterprise_1235t.txt,1214,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,121.6853892326355,4.029904477978208,119.74448251724243,128.89165043830872,119.90765404701233,116.67519519492743,126.69558327034358,3.311740631633206,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
long_non_programming_analysis_1330t.txt,1312,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,117.90146317481995,4.33778491450496,115.74387288093567,125.65646862983704,115.97678089141846,112.5084956158429,123.294430733797,3.679161223023206,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
long_non_programming_summarize_1707t.txt,1703,5,5,8.762491624259466,12.045479064962652,0.0,23.408696635787027,0.0,-6.213095941749277,23.73807919026821,137.46636894481068,97.9111346244812,6.230313718776521,86.80534553527832,101.04830050468445,100.91528177261353,90.1652734465196,105.65699580244281,6.363233091590305,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
long_programming_debug_complex_1366t.txt,1366,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,115.53260221481324,4.614175145502097,113.26342105865479,123.77967882156372,113.5725109577179,109.79601145211268,121.2691929775138,3.993829496649632,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
long_programming_full_project_2339t.txt,2336,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76.27323470115661,7.654156299092142,72.80019950866699,89.9650936126709,72.84970140457153,66.75717583103751,85.7892935712757,10.035179875459082,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
medium_architecture_web_app_106t.txt,103,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,162.71007027626038,1.0398524979246855,161.88195633888245,164.32717895507812,162.1240565776825,161.41726971146588,164.0028708410549,0.6390830611523627,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
medium_non_programming_explanation_106t.txt,106,5,5,25.19084820570882,0.260905447793141,24.725958372428977,25.341829383042423,25.28873540423325,24.866476517476013,25.51521989394163,1.0357152155520268,75.40189342498779,3.513542469019071,70.55528521537781,79.57668018341064,75.8475706577301,71.03366841476493,79.77011843521065,4.6597536340575525,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
medium_programming_algorithm_102t.txt,102,5,5,25.08315577179509,0.28569271526983214,24.644623265612136,25.413971699757667,25.168238926090464,24.727967219192063,25.43834432439812,1.1389823428481078,84.05630230903625,10.606124785620237,68.30888223648071,94.99377202987671,84.90860271453857,70.87019741387458,97.24240720419793,12.617881698657655,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
medium_programming_debug_122t.txt,122,5,5,24.962086618312764,0.215344097214655,24.588095030136717,25.129970995736905,25.031494442161453,24.694359252114303,25.229813984511225,0.8626846806014751,91.2317283630371,3.0001477698870627,87.63143348693848,93.94790434837341,92.3971061706543,87.5017832610945,94.96167346497971,3.288491650567681,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
short_architecture_basic_6t.txt,5,5,5,4.873374245978679,10.897196093805107,0.0,24.366871229893395,0.0,-8.674606157842046,18.421354649799405,223.60679774997894,161.5940276145935,9.493601601256021,144.62258887290955,166.23540782928467,165.70115518569946,149.7910713909631,173.3969838382239,5.874970592291033,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
short_programming_debug_12t.txt,11,5,5,25.688375671545597,0.6559897616329828,24.52496151629834,26.074330102277692,25.920322917445386,24.87281391059289,26.503937432498304,2.553644379934879,18.931988286972047,4.553518675824738,12.599408149719238,24.413512229919434,18.52396583557129,13.270808910418875,24.593167663525218,24.05198337756325,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
short_simple_greeting_1t.txt,1,5,5,19.422439280938203,1.6026646443943064,17.298637099663576,21.561964811509526,19.76255445027825,17.42992037889754,21.414958182978868,8.251613616664578,1.9094386100769043,0.3218602341407837,1.5646135807037354,2.3652760982513428,1.792048692703247,1.5092846523641126,2.309592567789696,16.856275579753806,0,2.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions
