filename,prompt_token_count,iterations,successful_runs,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,tokens_per_second_median,tokens_per_second_95_ci_lower,tokens_per_second_95_ci_upper,tokens_per_second_cv,response_time_mean,response_time_std,response_time_min,response_time_max,response_time_median,response_time_95_ci_lower,response_time_95_ci_upper,response_time_cv,outliers_detected,outlier_threshold,model,llm_url,base_model,quantization,hardware
extra_long_programming_code_heavy_17947t.txt,17736,5,4,21.985344386956317,2.695633875603414,17.9626454024461,23.656123227402027,23.16130445898857,18.23841329986757,25.732275474045064,12.261049125083101,432.9221985936165,327.17004987110283,230.3420534133911,921.0781390666962,290.13430094718933,-21.844170727216408,887.6885679144493,75.57248183020916,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
extra_long_repo_prompt_44396t.txt,36029,5,5,10.972182437303127,3.146848842944483,5.350297209726747,12.508199966231958,12.410633691128066,7.059850669479452,14.884514205126802,28.680245347050143,448.99278445243834,191.86737031903576,282.69455313682556,664.4490690231323,354.615252494812,210.45294807263423,687.5326208322424,42.73284047382285,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_architecture_enterprise_1235t.txt,1214,5,5,51.417398285202395,2.498821605147145,48.13554700554973,54.526130072482985,50.78146546709802,48.31072884035109,54.5240677300537,4.859875622812853,101.07750267982483,32.90955773444023,64.9230010509491,151.4681031703949,95.77391386032104,60.16257011858859,141.99243524106106,32.558736476390024,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_non_programming_analysis_1330t.txt,1312,5,5,54.15872087132034,1.6763574707339985,51.72276281182115,55.87347174002193,53.8299907281889,52.074583083232476,56.242858659408206,3.0952678419362574,62.79022560119629,10.506323767767151,50.2027153968811,72.45192241668701,66.35376405715942,49.72819870027421,75.85225250211838,16.73241920565258,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_non_programming_summarize_1707t.txt,1703,5,5,54.503496125071,8.876403560120526,38.633765090841464,58.70963025230066,58.595531887771585,43.467873708651254,65.53911854149075,16.285934281631302,12.754561758041381,2.8869350921243497,10.066491603851318,17.459481716156006,11.639112710952759,9.165368747424848,16.343754768657913,22.63452987950935,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_programming_debug_complex_1366t.txt,1366,5,5,53.76914676882127,1.5329457547406395,51.08088777512154,54.71404132304731,54.47667642986949,51.86330614095987,55.674987396682674,2.8509765299633463,66.29897923469544,5.651616501629226,61.136043310165405,74.3526623249054,63.898905515670776,59.27258556839165,73.32537290099923,8.524439692536976,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
long_programming_full_project_2339t.txt,2336,5,5,36.78093663509461,2.391631720348697,33.732139926326184,40.01948122981446,36.23228087245444,33.8075314213571,39.75434184883213,6.502367637007689,405.2119698047638,104.37369736918653,265.1208779811859,543.5468974113464,424.31775283813477,275.4489744012102,534.9749652083174,25.757802125014983,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
medium_architecture_web_app_106t.txt,103,5,5,53.50269342744455,2.64545456838337,49.90885630962022,57.01523661326918,53.61113811545152,50.213721994505875,56.79166486038322,4.944525964792582,119.92965412139893,32.9731230055153,79.38228917121887,166.6838436126709,115.87144422531128,78.93569379563726,160.9236144471606,27.493719753530026,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
medium_non_programming_explanation_106t.txt,106,5,5,65.11106237184009,0.8485030593404284,63.76143216355698,66.0065236815903,65.41614062005898,64.05615772283032,66.16596702084986,1.303162670722138,14.34588270187378,2.3502589595865824,11.347363233566284,17.948020935058594,14.130431890487671,11.423914329983658,17.2678510737639,16.382811768561332,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
medium_programming_algorithm_102t.txt,102,5,5,61.25570345433871,0.7676137895914039,59.89726525119223,61.704991454849385,61.59259046988082,60.30136469695882,62.210042211718594,1.2531303148997375,42.731170892715454,4.456913729781727,40.11723184585571,50.51983571052551,40.45941209793091,37.19009598199335,48.272245803437556,10.43012310842508,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
medium_programming_debug_122t.txt,122,5,5,63.70496325290755,0.7486107912186722,62.42282008120064,64.25133904513243,63.83583583587546,62.77425004538025,64.63567646043485,1.1751216121838122,23.572967720031738,1.3759789425966313,21.952325582504272,25.279216766357422,24.093050241470337,21.86227667713432,25.283658762929154,5.837105276427955,0,2.0,qwen/qwen3-coder-30b,http://127.0.0.1:1234/v1/chat/completions,qwen3_coder_30b,unknown,linux_x86_64
