filename,prompt_token_count,iterations,successful_runs,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,tokens_per_second_median,tokens_per_second_95_ci_lower,tokens_per_second_95_ci_upper,tokens_per_second_cv,response_time_mean,response_time_std,response_time_min,response_time_max,response_time_median,response_time_95_ci_lower,response_time_95_ci_upper,response_time_cv,outliers_detected,outlier_threshold,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
extra_long_programming_code_heavy_17947t.txt,17736,5,5,23.13563111259341,8.391778454388957,8.124112449765763,26.932250420424722,26.88238645266339,12.702520698264115,33.5687415269227,36.272096549037144,27.729014492034914,19.591927841214876,18.936404943466187,62.77608823776245,18.971529960632324,3.3712758424806104,52.08675314158921,70.65497350020357,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
extra_long_repo_prompt_44396t.txt,36029,5,5,13.762709853555698,6.835079841915428,1.5358341936932463,16.85663838651841,16.807465350709613,5.264970897617953,22.260448809493443,49.66376472835061,60.6490779876709,86.71389184599452,17.335157871246338,215.5180561542511,20.621721982955933,-47.158297171560996,168.4564531469028,142.97643875744035,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
long_architecture_enterprise_1235t.txt,1214,5,5,40.07898238349313,2.189359685418263,36.164286292241314,41.11415683194957,41.06215689715494,37.357052644904336,42.80091212208192,5.4626129587560825,12.757732629776001,0.7519033455501064,12.404486417770386,14.10231065750122,12.42019510269165,11.82292594157929,13.692539317972711,5.893706721797855,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
long_non_programming_analysis_1330t.txt,1312,5,5,39.91632137021164,2.3619198066214064,35.69501352804268,41.12836056314241,40.91900577546392,36.97985560598685,42.85278713443643,5.917178050340172,12.815707349777222,0.8234386692478178,12.400202512741089,14.287709951400757,12.463645935058594,11.791964098881735,13.83945060067271,6.425229967990272,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
long_non_programming_summarize_1707t.txt,1703,5,5,39.14722574922355,2.8263299180340105,34.09201684749747,40.49008275547776,40.378322979839936,35.63338035132116,42.661071147125945,7.219745113330458,13.088170051574707,1.046213482847428,12.595676898956299,14.959513902664185,12.630539417266846,11.787461168131953,14.38887893501746,7.993581063852028,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
long_programming_debug_complex_1366t.txt,1366,5,5,39.86179250397218,2.4280783260880203,35.51875687283977,40.980410165219006,40.936039122933714,36.84307490931653,42.88051009862784,6.091242198518958,12.835695028305054,0.8514010819370808,12.444970607757568,14.3586106300354,12.458459854125977,11.777187401702585,13.894202654907522,6.633073472527866,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
long_programming_full_project_2339t.txt,2336,5,5,37.938895028196825,3.71234960235415,31.298565434952376,39.65443042287689,39.57417636089157,33.32350229488467,42.55428776150898,9.785075710810947,13.562245941162109,1.5275503645006843,12.861110210418701,16.294676542282104,12.887191772460938,11.66311315269468,15.461378729629539,11.26325515056832,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
medium_architecture_web_app_106t.txt,103,5,5,42.194684092379184,0.18441959710677192,41.89914612589776,42.38664449237571,42.21488315394121,41.965403728313476,42.42396445644489,0.43706832050931294,12.087015914916993,0.05299192770099439,12.032091856002808,12.172085762023926,12.081047296524048,12.021133499672406,12.15289833016158,0.43842026910542303,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
medium_non_programming_explanation_106t.txt,106,5,5,42.32735778345462,0.31248961638240047,41.908609072412766,42.76734878190347,42.3626503582,41.938853881836025,42.71586168507322,0.7382686582542834,12.039958572387695,0.07891169943800364,11.92498517036438,12.1454758644104,12.038906812667847,11.94185130255284,12.13806584222255,0.6554150412027068,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
medium_programming_algorithm_102t.txt,102,5,5,42.23183906090817,0.21821539129462147,41.88057963201195,42.41378645767943,42.25175368096863,41.96054194744682,42.50313617436952,0.5167082375453835,12.071716499328613,0.06272291378908004,12.024392127990723,12.177481889724731,12.061427593231201,11.993735998696154,12.14969699996107,0.5195857092284141,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
medium_programming_debug_122t.txt,122,5,5,42.24725475651909,0.2319986947364379,41.851296214402474,42.4551439355968,42.30132308269565,41.95882149873932,42.53568801429886,0.5491450179982136,12.067352056503296,0.0681756420155928,12.012678623199463,12.186002492904663,12.040958642959595,11.98259243080745,12.152111682199141,0.5649594185731228,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
short_architecture_basic_6t.txt,5,5,5,42.44073739382191,0.06565794338082431,42.3792781629837,42.534564857427945,42.4098325534355,42.35910790650964,42.52236688113418,0.15470500140363283,12.016779327392578,0.01857645993987235,11.990248441696167,12.034183263778687,12.025513172149658,11.993684073065566,12.039874581719591,0.15458767639617713,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
short_programming_debug_12t.txt,11,5,5,42.382901900771735,0.14566875513705455,42.176969769991786,42.55885661779328,42.39671350864829,42.201798668063304,42.564005133480165,0.34369698299115786,10.462388801574708,0.6555143396646388,9.764907836914062,11.41407060623169,10.432233572006226,9.647418110788601,11.277359492360814,6.2654366234791095,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
short_simple_greeting_1t.txt,1,5,5,30.984578750309552,0.23863855977840626,30.665328719976166,31.275782723383365,31.005491235829915,30.68789045511481,31.281267045504293,0.7701849416817459,0.38730783462524415,0.002986277197405771,0.383683443069458,0.39132142066955566,0.38702821731567383,0.38359513416518454,0.39102053508530377,0.7710345442134595,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
short_simple_greeting_request1_8t.txt,8,5,5,40.14286254297038,0.6300108013049877,39.10060581969495,40.737338234731446,40.28152435175575,39.35959922304833,40.92612586289243,1.5694217138366784,1.373999261856079,0.15617681128673425,1.2593026161193848,1.6201353073120117,1.2787525653839111,1.1798318484563395,1.5681666752558185,11.366586258260535,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
short_simple_math_8t.txt,8,5,5,41.859154593851684,0.3593417405244838,41.3447429024563,42.29748992256622,41.79039976732314,41.41240161106668,42.30590757663669,0.8584543668191147,3.287390041351318,0.09559792136692263,3.1346912384033203,3.3746306896209717,3.2862470149993896,3.1685375627709482,3.406242519931688,2.908018828445013,0,2.0,deepseek-r1-distill-qwen-7b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-distill-qwen-7b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
